iter	Passed	Remaining
954	260187	12260
955	260474	11988
956	260767	11716
957	261077	11446
958	261328	11172
959	261604	10900
960	261918	10629
961	262235	10358
962	262486	10085
963	262755	9812
964	263013	9539
965	263263	9265
966	263524	8993
967	263818	8721
968	264126	8449
969	264410	8177
970	264688	7905
971	264949	7632
972	265294	7361
973	265638	7090
974	265925	6818
975	266248	6547
976	266530	6274
977	266782	6001
978	267167	5730
979	267439	5457
980	267733	5185
981	267998	4912
982	268280	4639
983	268575	4367
984	268892	4094
985	269188	3822
986	269477	3549
987	269792	3276
988	270076	3003
989	270370	2731
990	270678	2458
991	271024	2185
992	271430	1913
993	271707	1640
994	272078	1367
995	272443	1094
996	272741	820
997	273053	547
998	273347	273
999	273619	0
